2026-07-10 00:17:22 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T00:17:22.4294199-05:00
2026-07-10 00:17:22 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T00:17:22.4324175-05:00
2026-07-10 00:17:22 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T00:17:22.4324175-05:00
2026-07-10 00:17:22 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-10T05:17:22.5266291Z
2026-07-10 01:18:24 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T01:18:24.5459133-05:00
2026-07-10 01:18:24 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T01:18:24.5479100-05:00
2026-07-10 01:18:24 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T01:18:24.5489097-05:00
2026-07-10 01:18:24 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-10T06:18:24.6461068Z
2026-07-10 02:19:33 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T02:19:33.0707185-05:00
2026-07-10 02:19:33 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T02:19:33.0722372-05:00
2026-07-10 02:19:33 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T02:19:33.0732499-05:00
2026-07-10 02:19:33 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-10T07:19:33.1753740Z
2026-07-10 03:20:41 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T03:20:41.0372760-05:00
2026-07-10 03:20:41 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T03:20:41.0402856-05:00
2026-07-10 03:20:41 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T03:20:41.0402856-05:00
2026-07-10 03:20:41 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-10T08:20:41.1328878Z
2026-07-10 04:21:50 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T04:21:50.1436993-05:00
2026-07-10 04:21:50 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T04:21:50.1466998-05:00
2026-07-10 04:21:50 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T04:21:50.1476995-05:00
2026-07-10 04:21:50 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-10T09:21:50.2438909Z
2026-07-10 05:23:06 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-10T05:23:06.6920279-05:00
2026-07-10 05:23:06 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-10T05:23:06.6940282-05:00
2026-07-10 05:23:06 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-10T05:23:06.6950279-05:00
