2026-07-02 10:42:29 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-02T10:42:29.8214502-05:00
2026-07-02 10:42:29 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-02T10:42:29.8272912-05:00
2026-07-02 10:42:29 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-02T10:42:29.8292939-05:00
2026-07-02 10:42:29 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-02T15:42:29.9318287Z
2026-07-02 11:43:55 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-02T11:43:55.3012803-05:00
2026-07-02 11:43:55 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-02T11:43:55.3030667-05:00
2026-07-02 11:43:55 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-02T11:43:55.3040778-05:00
2026-07-02 11:43:55 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-02T16:43:55.4097653Z
2026-07-02 12:45:06 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-02T12:45:06.6876537-05:00
2026-07-02 12:45:06 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-02T12:45:06.6906523-05:00
2026-07-02 12:45:06 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=Windows 11, version 25H2 | Status=Skipped | 2026-07-02T12:45:06.6916523-05:00
2026-07-02 12:45:06 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-02T17:45:06.7876355Z
2026-07-02 13:46:18 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-07-02T13:46:18.7265234-05:00
2026-07-02 13:46:18 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-07-02T13:46:18.7295270-05:00
