2026-05-26 08:58:56 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-05-26T08:58:56.1572500-05:00
2026-05-26 08:58:56 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-05-26T08:58:56.1591947-05:00
2026-05-26 08:58:56 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-26T13:58:56.3018030Z
2026-05-26 08:59:01 | WRN | WINGET | \ | Status="Failed" | Error=winget exit code -1978335212:  | 2026-05-26T13:59:01.9953828Z
2026-05-26 08:59:04 | WRN | WINGET | Microsoft.PowerShell | Status="Failed" | Error=winget exit code -1978335189:  | 2026-05-26T13:59:04.2806102Z
2026-05-26 08:59:06 | WRN | WINGET | 1.5.8 | Status="Failed" | Error=winget exit code -1978335212:  | 2026-05-26T13:59:06.5475231Z
2026-05-26 10:00:04 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-05-26T10:00:04.9098922-05:00
2026-05-26 10:00:04 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-05-26T10:00:04.9118897-05:00
2026-05-26 10:00:04 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-26T15:00:04.9868370Z
2026-05-26 11:01:04 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-05-26T11:01:04.2071758-05:00
2026-05-26 11:01:04 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-05-26T11:01:04.2091782-05:00
2026-05-26 11:01:04 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-26T16:01:04.2922857Z
2026-05-26 12:02:00 | INF | WINDOWS-UPDATE | KB=KB5007651 | Title=Update for Windows Security platform - KB5007651 (Version 10.0.29554.1001) | Status=Skipped | 2026-05-26T12:02:00.1343079-05:00
2026-05-26 12:02:00 | INF | WINDOWS-UPDATE | KB= | Title=Brother - Printer - 1.11.0.0 | Status=Skipped | 2026-05-26T12:02:00.1363084-05:00
2026-05-26 12:02:00 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-05-26T17:02:00.2235381Z
