2026-07-07 07:23:16 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T12:23:16.5027291Z
2026-07-07 08:24:12 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T13:24:12.8639243Z
2026-07-07 09:25:09 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T14:25:09.2634573Z
2026-07-07 10:26:06 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T15:26:06.0518111Z
2026-07-07 11:27:04 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T16:27:04.7723340Z
2026-07-07 12:29:00 | INF | WINDOWS-UPDATE | KB= | Title=PowerShell v7.5.8 (x64) | Status=Skipped | 2026-07-07T12:29:00.0456274-05:00
2026-07-07 12:29:00 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T17:29:00.1253562Z
2026-07-07 13:29:58 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T18:29:58.7021262Z
2026-07-07 14:30:57 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T19:30:57.5395175Z
2026-07-07 15:31:56 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T20:31:56.3827456Z
2026-07-07 16:32:54 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T21:32:54.6580116Z
2026-07-07 17:33:54 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T22:33:54.6508282Z
2026-07-07 18:34:53 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-07T23:34:53.9886874Z
2026-07-07 19:35:54 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-08T00:35:54.6101480Z
2026-07-07 20:37:06 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-08T01:37:06.0946104Z
2026-07-07 21:38:05 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-08T02:38:05.9290826Z
2026-07-07 22:39:05 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-08T03:39:05.8012256Z
2026-07-07 23:40:03 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-07-08T04:40:03.2691121Z
