2026-06-09 00:44:27 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T05:44:27.6856887Z
2026-06-09 01:45:25 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T06:45:25.4384242Z
2026-06-09 02:46:22 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T07:46:22.5728463Z
2026-06-09 03:47:17 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T08:47:17.9857826Z
2026-06-09 04:48:18 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T09:48:18.0419228Z
2026-06-09 05:49:33 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T10:49:33.1699567Z
2026-06-09 06:50:38 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T11:50:38.5375593Z
2026-06-09 07:51:34 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T12:51:34.7913781Z
2026-06-09 08:52:31 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T13:52:31.1196362Z
2026-06-09 09:53:39 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T14:53:39.2805253Z
2026-06-09 10:54:37 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T15:54:37.0497190Z
2026-06-09 11:55:43 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T16:55:43.5083024Z
2026-06-09 13:24:42 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=2026-06 Security Update (KB5094126) (26200.8655) | Status=Skipped | 2026-06-09T13:24:41.9718760-05:00
2026-06-09 13:24:42 | INF | WINDOWS-UPDATE | KB=KB5097148 | Title=2026-06 .NET 10.0.9 Security Update for x64 Client (KB5097148) | Status=Skipped | 2026-06-09T13:24:41.9698748-05:00
2026-06-09 13:24:42 | INF | WINDOWS-UPDATE | KB=KB890830 | Title=Windows Malicious Software Removal Tool x64 - v5.142 (KB890830) | Status=Skipped | 2026-06-09T13:24:41.9718760-05:00
2026-06-09 13:24:42 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T18:24:42.0643392Z
2026-06-09 14:28:59 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=2026-06 Security Update (KB5094126) (26200.8655) | Status=Skipped | 2026-06-09T14:28:59.1029944-05:00
2026-06-09 14:28:59 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T19:28:59.1842773Z
2026-06-09 15:33:20 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=2026-06 Security Update (KB5094126) (26200.8655) | Status=Skipped | 2026-06-09T15:33:20.0828932-05:00
2026-06-09 15:33:20 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-06-09T20:33:20.1597930Z
2026-06-09 16:37:34 | INF | WINDOWS-UPDATE | KB=KB5094126 | Title=2026-06 Security Update (KB5094126) (26200.8655) | Status=Skipped | 2026-06-09T16:37:34.7882689-05:00
