2026-08-17 07:34:43 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T12:34:43.3549460Z
2026-08-17 08:35:58 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T13:35:58.3795569Z
2026-08-17 09:37:00 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T14:37:00.7573370Z
2026-08-17 10:38:03 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T15:38:03.6662824Z
2026-08-17 11:39:03 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T16:39:03.6970016Z
2026-08-17 12:41:12 | INF | WINDOWS-UPDATE | KB= | Title=PowerShell v7.6.5 (x64) | Status=Skipped | 2026-08-17T12:41:12.0347552-05:00
2026-08-17 12:41:12 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T17:41:12.1592218Z
2026-08-17 13:42:13 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T18:42:13.5106509Z
2026-08-17 14:43:17 | INF | WINDOWS-UPDATE | KB=PendingReboot | Title=Reboot pending from a previous update cycle | RebootRequired=true | 2026-08-17T19:43:17.5785652Z
